Adalberht	Old German form of Albert.
Adalbern	Derived from the Old German elements adal "noble" and bern "bear".
Adalbert	Old German form of Albert. This is the name of a patron saint of Bohemia, Poland and Prussia. He is known by his birth name Vojtěch in Czech and Wojciech in Polish.
Adalfarus	Derived from the Old German elements adal "noble" and fara "journey".
Adalfuns	Old German form of Alfonso.
Adalhard	Derived from the Old German elements adal "noble" and hart "hard, firm, brave, hardy". Saint Adalhard or Adalard was a cousin of Charlemagne who became an abbot of Corbie.
Adalwin	From the Old German elements adal "noble" and wini "friend" (a cognate of Æðelwine).
Adalwolf	Old German form of Adolf.
Adelmar	From the Old German elements adal "noble" and mari "famous". It is a cognate of the Old English name Æðelmær.
Adhelm	From the Old German elements atto meaning "father" and helm meaning "helmet, protection".
Adolf	From the Old German name Adalwolf, which meant  from the elements adal "noble" and wolf. It was borne by several Swedish kings as a first or second name, most notably by Gustav II Adolf in the 17th century. Association with Adolf Hitler (1889-1945), the leader of the Nazi party in Germany during World War II, has lessened the use of this name.
Adolphus	Latinized form of Adolf.
Agi	Old German variant of Ago.
Agilulf	Old German name derived from the elements agil meaning "edge, blade" and wolf meaning "wolf". This name was borne by a 6th-century king of the Lombards and by an 8th-century saint (a bishop of Cologne).
Agimar	Derived from Old Frankish aggju or Old High German ekka meaning "edge, blade" combined with mari meaning "famous".
Ago	From the Old High German element ekka, Old Saxon eggia meaning  (Proto-Germanic *agjō). Alternatively it could be from Old High German egi meaning  (Proto-Germanic *agaz). This was the name of a 7th-century Duke of Friuli.
Aimeric	Probably a variant of Heimirich. Aimeric (or Aimery) was the name of several viscounts of Narbonne between the 11th and 13th centuries. It was also borne by the first king of Cyprus (12th century), originally from Poitou, France.
Aistulf	Derived from the Old German elements heisti "loud, violent" and wolf "wolf". This was the name of an 8th-century king of the Lombards.
Alard	Variant of Adalhard.
Alawar	Possible Frankish cognate of Álvaro.
Alberic	Variant of Alberich.
Alberich	Derived from the Old German elements alb "elf" and rih "ruler, king". It was borne by two Lombard dukes of Spoleto in the 10th century. It was also the name of a 12th-century French saint who helped found the Cistercian Order.
